./4854_0430_Empty_211_S434_L001_trimmed_R2_001.fastq.gz,
./4854_1403_LSU-SB_123_S1407_L001_trimmed_R2_001.fastq.gz,54799178 , 0.956754
./4854_1040_Empty_422_S1044_L001_trimmed_R1_001.fastq.gz,66231478 , 0.978956
./4854_0603_Empty_297_S607_L001_trimmed_R2_001.fastq.gz,67986223 , 0.944314
./4854_1275_ITS-SB_91_S1279_L001_trimmed_R2_001.fastq.gz,42067447 , 0.959424
./4854_0017_Empty_17_S21_L001_trimmed_R1_001.fastq.gz,300 , 1
./4854_0221_Empty_134_S225_L001_trimmed_R2_001.fastq.gz,31202924 , 0.958713
./4854_1168_Empty_446_S1172_L001_trimmed_R1_001.fastq.gz,300 , 0.986667
./4854_1437_Empty_555_S1441_L001_trimmed_R1_001.fastq.gz,45425377 , 0.976232
./4854_0156_ITSmix-NL2_160_S160_L001_trimmed_R1_001.fastq.gz,20059556 , 0.966042
./4854_1430_LSU-SB_150_S1434_L001_trimmed_R1_001.fastq.gz,3193 , 0.938616
